Year,Semester,Section,A,B,C,D,F,AtoF,GPA,I,S,U,Q,X,Total,Instructor
2021,Spring,MEMA-646-600,11,0,0,0,0,11,4,0,0,0,0,0,11,STROUBOULIS T
2021,Spring,BMEN-101-900,11,1,1,0,0,13,3.769,1,0,0,0,0,14,MCSHANE M
2021,Spring,BMEN-211-200,9,2,1,0,0,12,3.666,0,0,0,1,0,13,JESSEN S
2021,Spring,BMEN-211-201,15,1,1,1,0,18,3.666,0,0,0,1,0,19,JESSEN S
2021,Spring,BMEN-211-500,27,17,3,1,0,48,3.458,0,0,0,4,0,52,JESSEN S
2021,Spring,BMEN-211-501,48,13,1,0,0,62,3.758,0,0,0,1,0,63,JESSEN S
2021,Spring,BMEN-253-500,58,19,2,0,0,79,3.708,0,0,0,0,0,79,MACHEK J
2021,Spring,BMEN-253-501,74,8,1,0,0,83,3.879,0,0,0,0,0,83,MACHEK J
2021,Spring,BMEN-322-500,15,12,0,0,0,27,3.555,0,0,0,0,0,27,WALSH A
2021,Spring,BMEN-341-500,37,21,9,1,0,68,3.382,0,0,0,7,0,75,JAIN A
2021,Spring,BMEN-344-200,2,4,0,0,0,6,3.333,0,0,0,2,0,8,ALGE D
2021,Spring,BMEN-344-201,6,5,0,0,0,11,3.545,0,0,0,0,0,11,ALGE D
2021,Spring,BMEN-344-500,15,24,9,1,0,49,3.081,0,0,0,1,0,50,ALGE D
2021,Spring,BMEN-344-501,22,19,10,1,1,53,3.132,2,0,0,2,0,57,ALGE D
2021,Spring,BMEN-344-502,17,18,10,4,0,49,2.979,0,0,0,0,0,49,ZHAO F
2021,Spring,BMEN-345-501,11,7,0,0,0,18,3.611,0,0,0,0,0,18,PEAK C
2021,Spring,BMEN-345-502,8,7,1,0,0,16,3.437,0,0,0,0,0,16,PEAK C
2021,Spring,BMEN-345-503,13,6,0,0,0,19,3.684,0,0,0,0,0,19,PEAK C
2021,Spring,BMEN-345-504,6,10,1,1,0,18,3.166,0,0,0,2,0,20,PEAK C
2021,Spring,BMEN-345-505,10,4,2,0,0,16,3.5,0,0,0,0,0,16,PEAK C
2021,Spring,BMEN-345-506,13,7,1,0,0,21,3.571,0,0,0,0,0,21,PEAK C
2021,Spring,BMEN-345-507,15,2,0,1,0,18,3.722,1,0,0,0,0,19,PEAK C
2021,Spring,BMEN-345-508,13,5,1,1,0,20,3.5,0,0,0,1,0,21,PEAK C
2021,Spring,BMEN-345-509,8,7,5,0,0,20,3.15,0,0,0,0,0,20,PEAK C
2021,Spring,BMEN-353-500,80,0,0,0,0,80,4,0,0,0,0,0,80,BISWAS S
2021,Spring,BMEN-353-501,67,1,0,0,0,68,3.985,0,0,0,0,0,68,BISWAS S
2021,Spring,BMEN-361-201,3,2,1,0,0,6,3.333,0,0,0,0,0,6,TIAN L
2021,Spring,BMEN-361-501,38,36,8,1,1,84,3.297,0,0,0,0,0,84,TIAN L
2021,Spring,BMEN-401-500,27,6,2,1,0,36,3.638,0,0,0,0,0,36,COTE G
2021,Spring,BMEN-420-500,14,29,11,4,0,58,2.913,1,0,0,9,0,68,MCDOUGALL M
2021,Spring,BMEN-420-501,22,35,2,0,3,62,3.177,0,0,0,2,0,64,YAKOVLEV V
2021,Spring,BMEN-431-500,26,9,2,1,0,38,3.578,0,0,0,0,0,38,PATRICK C
2021,Spring,BMEN-433-500,33,0,0,0,0,33,4,0,0,0,0,0,33,PATRICK C
2021,Spring,BMEN-450-900,47,6,1,1,0,55,3.8,0,0,0,0,0,55,MAITLAND D
